dataset,line,input,expected,remaining_expression,first_blocker
"loki_tiny.csv",19565,"(((~ ((((~ (((~ v0) + (- ((~ v0) + (- (~ (v0 + (- v1))))))) | (- v0))) ^ (- v0)) & (- v0)) + ((~ v0) + (- ((~ v0) + (- (~ (v0 + (- (~ (~ (v1 | (~ (~ (v1 & (~ v1)))))))))))))))) | ((- ((((~ (((~ v0) + (- ((~ v0) + (- (~ (v0 + (- v1))))))) | (- v0))) ^ (- v0)) & (- v0)) + ((~ v0) + (- ((~ v0) + (- (~ (v0 + (- (~ (~ (v1 | (~ (~ (v1 & (~ v1)))))))))))))))) + (((((~ (((~ v0) + (- ((~ v0) + (- (~ (v0 + (- v1))))))) | (- v0))) ^ (- v0)) & (- v0)) + ((~ v0) + (- ((~ v0) + (- (~ (v0 + (- (~ (~ (v1 | (~ (~ (v1 & (~ v1))))))))))))))) | (- ((((~ (((~ v0) + (- ((~ v0) + (- (~ (v0 + (- v1))))))) | (- v0))) ^ (- v0)) & (- v0)) + ((~ v0) + (- ((~ v0) + (- (~ (v0 + (- (~ (~ (v1 | (~ (~ (v1 & (~ v1))))))))))))))))))) + (- v0))","v0 - v1","(-0x1) * (v1 + (-0x1) + (-0x2) * v0 & 0x1 + 0x2 * v0 + (-0x1) * v1 + (-0x1) * (v1 + (-0x1) + (-0x2) * v0 & 0x1 + 0x2 * v0 + (-0x1) * v1))","AnchorCandidateUnproved"
"loki_tiny.csv",19704,"(v0 + ((~ v0) + (- (~ (v0 + ((- ((- (~ (((~ v1) + (- v1)) ^ (((~ v1) + (- v1)) & (v1 ^ (~ (~ (v1 & (~ v1))))))))) + (v1 ^ (~ (~ (v1 & (~ v1))))))) | ((- v1) + (~ (v1 | (v1 | (~ v1)))))))))))","v0 - v1","(-0x2) * (v1) + (-0x1) * (v1 & (-0x1) * v1) + (-0x1) * (v1 & (-0x1) + (-0x2) * v1) + (-0x1) * ((-0x1) * v1 & (-0x1) + (-0x2) * v1) + (v1 & (-0x1) * v1 & (-0x1) + (-0x2) * v1)","AboveLowUnknown"
"loki_tiny.csv",19966,"(((~ v0) | (~ ((v0 + (- ((~ v0) + v1))) ^ ((- (v0 + (- ((~ v0) + v1)))) + (~ ((v0 + (- ((~ v0) + v1))) & (~ (~ (v0 & (~ (v0 + ((- ((~ v0) + v1)) & (~ (((~ v0) + v1) & (((~ v0) + v1) + ((~ v0) + v1)))))))))))))))) + (v0 + ((- ((~ v0) + v1)) ^ (~ ((- ((~ v0) + v1)) | (~ (- ((~ v0) + v1))))))))","v0 - v1","(-0x1) * (v0) + (v0 & v1 + (-0x2) + (-0x2) * v0 + (-0x1) * (v0 & 0x1 + 0x2 * v0 + (-0x1) * v1) + (v0 & 0x1 + 0x2 * v0 + (-0x1) * v1 & 0x1 + 0x2 * v0 + (-0x1) * v1 + (-0x1) * (v0 + 0x1 + (-0x1) * v1 & v1 + (-0x1) + (-0x1) * v0 & (-0x2) + 0x2 * v1 + (-0x2) * v0))) + (v0 & 0x1 + 0x2 * v0 + (-0x1) * v1) + (-0x2) * (v0 & v1 + (-0x2) + (-0x2) * v0 + (-0x1) * (v0 & 0x1 + 0x2 * v0 + (-0x1) * v1) + (v0 & 0x1 + 0x2 * v0 + (-0x1) * v1 & 0x1 + 0x2 * v0 + (-0x1) * v1 + (-0x1) * (v0 + 0x1 + (-0x1) * v1 & v1 + (-0x1) + (-0x1) * v0 & (-0x2) + 0x2 * v1 + (-0x2) * v0)) & 0x1 + 0x2 * v0 + (-0x1) * v1)","AnchorCandidateUnproved"
"loki_tiny.csv",22103,"(~ (((- (v0 | v1)) + (~ ((~ ((- (v0 | v1)) & (- ((v0 | v1) + (v0 | v1))))) + (- ((v0 | v1) | (~ ((- (v0 | v1)) & (- ((v0 | v1) + (v0 | v1)))))))))) | (v0 ^ (~ v1))))","v0 ^ v1","(v0 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1)) + (-0x2) * (v0 & v1 & 0x2 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1 & (-0x1) * v0 + (-0x1) * v1 + (v0 & v1))","AnchorCandidateUnproved"
"loki_tiny.csv",23488,"((~ ((- v0) + (v0 + ((- (v0 ^ (v0 ^ (- (~ v0))))) | (~ ((v0 ^ (v0 ^ (- (~ v0)))) | (~ ((v0 ^ (v0 ^ (- (~ v0)))) + (v0 ^ (v0 ^ (- (~ (v0 & (v0 + (~ (v0 | (~ v0))))))))))))))))) ^ v1)","v0 ^ v1","(v0 & 0x2 + 0x2 * v0) + (-0x2) * (v0 & v1 & 0x2 + 0x2 * v0) + (-0x1) * (v0 & v0 + 0x1 & 0x2 + 0x2 * v0) + 0x2 * (v0 & v1 & v0 + 0x1 & 0x2 + 0x2 * v0)","NoLowBitCandidate"
"loki_tiny.csv",23652,"((~ v0) ^ (~ (v0 + (- (~ (~ ((v0 + (- v1)) & (- ((v0 + (- v1)) & ((- (v0 + (- v1))) + (~ ((v0 + (- v1)) ^ ((~ (v0 + (- v1))) & (~ ((v0 + (- v1)) & ((- (~ (v0 + (- v1)))) + v1))))))))))))))))","v0 ^ v1","(v1) + (-0x1) * (v0) + (-0x2) * (v1 & v0) + 0x2 * (v0 & v0 + (-0x1) * ((-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0) & v0 + (-0x1) * v1)) + ((-0x1) * (v0 + (-0x1) * v1 & v1 + (-0x1) * v0) & v0 + (-0x1) * v1)","AnchorProvedNoUse"
"loki_tiny.csv",24286,"(((~ v0) + (- (~ (v0 | (((- (~ v0)) | (- (~ ((~ (- v0)) & (((- v0) | (~ (- v0))) + (- (v0 + v0))))))) & (- (~ ((~ (- v0)) & (((- v0) | (~ (- v0))) + (- (v0 + v0))))))))))) | (v0 ^ v1))","v0 ^ v1","0x2 * (v0) + (v0 & (-0x2) * v0 + (-0x1) * ((-0x1) * v0 & (-0x1) + (-0x2) * v0)) + (v1 & (-0x2) * v0 + (-0x1) * ((-0x1) * v0 & (-0x1) + (-0x2) * v0)) + (-0x1) * (v0 & v1 & (-0x2) * v0 + (-0x1) * ((-0x1) * v0 & (-0x1) + (-0x2) * v0)) + ((-0x1) * v0 & (-0x1) + (-0x2) * v0)","NoLowBitCandidate"
"loki_tiny.csv",24338,"((~ ((~ (v0 & (v0 | v1))) | ((~ (- (~ (v0 & (v0 | v1))))) & ((~ (v0 & (v0 | v1))) + (~ (v0 & (~ ((((~ ((~ ((v0 | v1) & (~ v1))) & (~ v1))) ^ v1) ^ (~ ((~ (v0 | v1)) & (~ (~ (v0 | v1)))))) ^ v1)))))))) ^ v1)","v0 ^ v1","(v0 & (-0x2) + (-0x2) * v0) + (-0x2) * (v0 & v1 & (-0x2) + (-0x2) * v0) + (-0x1) * (v0 & v0 + 0x1 & (-0x2) + (-0x2) * v0) + 0x2 * (v0 & v1 & v0 + 0x1 & (-0x2) + (-0x2) * v0)","NoLowBitCandidate"
"loki_tiny.csv",24796,"(((((- (~ v0)) & (~ ((~ v0) & (- ((~ v0) + (~ v0)))))) + (~ ((~ (v0 & (~ ((~ v0) | (v0 ^ v1))))) + (- (v0 ^ v1))))) + (- v0)) + (~ ((v0 & (~ (v0 ^ v1))) & v1)))","v0 ^ v1","(v0 + 0x1 & 0x2 + 0x2 * v0) + (-0x1) * (v0 & v0 + 0x1 & 0x2 + 0x2 * v0)","NoLowBitCandidate"
"loki_tiny.csv",24869,"((((- v0) | (~ (v0 | ((~ v0) + (- v0))))) ^ v1) ^ (- (((v0 & (- v0)) + (- (~ (~ (v0 | (- v0)))))) + (~ (((~ ((v0 & (- v0)) + (- (~ (~ (v0 | (- v0))))))) ^ ((v0 & (- v0)) + (- (~ (~ (v0 | (- (v0 ^ (~ ((- v0) + (~ (- v0)))))))))))) | v1)))))","v0 ^ v1","0x2 * (v1) + (-0x2) * (v0) + (-0x2) * (v1 & v0) + (-0x2) * (v1 & (-0x1) * v0) + (-0x1) * (v0 & (-0x1) * v0) + 0x2 * (v1 & v0 & (-0x1) * v0) + (-0x2) * (v1 & (-0x1) + (-0x2) * v0) + (-0x1) * (v0 & (-0x1) + (-0x2) * v0) + 0x2 * (v1 & v0 & (-0x1) + (-0x2) * v0) + (-0x1) * ((-0x1) * v0 & (-0x1) + (-0x2) * v0) + 0x2 * (v1 & (-0x1) * v0 & (-0x1) + (-0x2) * v0) + (v0 & (-0x1) * v0 & (-0x1) + (-0x2) * v0) + (-0x2) * (v1 & v0 & (-0x1) * v0 & (-0x1) + (-0x2) * v0)","AboveLowUnknown"
"loki_tiny.csv",24932,"(~ (((~ ((~ ((~ ((((~ (((~ v0) & v1) & (~ v1))) + (- v1)) & v1) | (v0 ^ v1))) + (~ ((v0 ^ v1) | (v1 & (~ v1)))))) | (- (~ ((v0 ^ v1) | (v1 & (~ v1))))))) | (~ ((v0 ^ v1) | (v1 & (~ v1))))) | (((- (~ ((v0 ^ v1) | (v1 & (~ v1))))) + (~ ((- (~ ((v0 ^ v1) | (v1 & (~ v1))))) | (~ ((~ ((v0 ^ v1) | (v1 & (~ v1)))) + (~ ((v0 ^ v1) | (v1 & (~ v1))))))))) & (~ ((- (~ ((v0 ^ v1) | (v1 & (~ v1))))) | ((- (~ ((~ ((v0 ^ v1) | (v1 & (~ v1)))) + (~ ((v0 ^ v1) | (v1 & (~ v1))))))) + (~ (((~ ((v0 ^ v1) | (v1 & (~ v1)))) + (~ ((v0 ^ v1) | (v1 & (~ v1))))) + (- (~ ((~ ((v0 ^ v1) | (v1 & (~ v1)))) + (~ ((v0 ^ v1) | (v1 & (~ v1)))))))))))))))","v0 ^ v1","(v0 & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (v1 & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (-0x2) * (v0 & v1 & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (-0x1) * (v0 & v0 + v1 + 0x1 + (-0x2) * (v0 & v1) & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + (-0x1) * (v1 & v0 + v1 + 0x1 + (-0x2) * (v0 & v1) & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1) + 0x2 * (v0 & v1 & v0 + v1 + 0x1 + (-0x2) * (v0 & v1) & (-0x2) + 0x4 * (v0 & v1) + (-0x2) * v0 + (-0x2) * v1)","NoLowBitCandidate"
